date,code,shares,source
2026-02-13,588000,50461168200.0,sse
2026-02-13,588080,28876628100.0,sse
2026-02-24,510050,23806566800.0,sse
2026-02-24,510300,45907687699.99999,sse
2026-02-24,510310,32180144000.0,sse
2026-02-24,510330,19285449800.0,sse
2026-02-24,510500,10910568600.000002,sse
2026-02-24,512100,10019217600.0,sse
2026-02-24,588000,50407168200.0,sse
2026-02-24,588080,28864628100.0,sse
2026-02-25,510050,23906466800.0,sse
2026-02-25,510300,45979687699.99999,sse
2026-02-25,510310,32181044000.0,sse
2026-02-25,510330,19309749800.0,sse
2026-02-25,510500,11076568600.000002,sse
2026-02-25,512100,10063217600.0,sse
2026-02-25,588000,50074168200.0,sse
2026-02-25,588080,28576628100.0,sse
2026-02-26,510050,23733666800.0,sse
2026-02-26,510300,45596287699.99999,sse
2026-02-26,510310,31995644000.0,sse
2026-02-26,510330,19253949800.0,sse
2026-02-26,510500,10426968600.0,sse
2026-02-26,512100,9115217600.0,sse
2026-02-26,588000,49426168200.0,sse
2026-02-26,588080,28480628100.0,sse
2026-02-27,510050,23690466800.0,sse
2026-02-27,510300,45612487699.99999,sse
2026-02-27,510310,31969544000.0,sse
2026-02-27,510330,19259349800.0,sse
2026-02-27,510500,10303368600.0,sse
2026-02-27,512100,8939217600.0,sse
2026-02-27,588000,49088668200.0,sse
2026-02-27,588080,28348628100.0,sse
2026-03-02,510050,22951566800.0,sse
2026-03-02,510300,44765587699.99999,sse
2026-03-02,510310,31801244000.0,sse
2026-03-02,510330,19185549800.0,sse
2026-03-02,510500,9836968600.0,sse
2026-03-02,512100,8227217600.0,sse
2026-03-02,588000,48845668200.0,sse
2026-03-02,588080,28303628100.0,sse
